censustract,totalbuildinginsurancecoverage,policycount
48201431502,1626676000,7108
48201431503,144614000,642
48201431504,1308586600,5540
48201431505,290826000,1826
48201431506,371136000,2030
48201431600,5024099800,22376
48201431700,3075952000,12646
48201431701,1207159000,4890
48201431702,1762451000,7108
48201431801,1974942000,8182
48201431802,848693400,5802
48201431803,280627800,1304
48201431804,442980400,3150
48201431900,849993600,5262
48201431901,123400000,542
48201431902,103000000,272
48201432001,1355965200,6000
48201432002,112399800,708
48201432003,15584000,50
48201432004,826847200,3386
48201432005,42992000,224
48201432006,23024800,298
48201432100,662171000,2940
48201432101,18900000,82
48201432102,410620000,1676
48201432200,2081391600,10328
48201432300,110440400,686
48201432301,13882000,176
48201432303,24600000,104
48201432400,124395000,1030
48201432401,51406000,530
48201432402,38200000,112
48201432500,497913200,4178
48201432501,220594000,1346
48201432502,34562000,236
48201432600,1325363800,5422
48201432701,52290000,304
48201432702,1006805200,5004
48201432703,548408600,2394
48201432704,77670000,370
48201432705,10000000,44
48201432706,11694000,100
48201432801,276779000,1486
48201432802,18894200,326
48201432803,26176000,208
48201432804,240286000,968
48201432805,13860000,50
48201432806,15596000,86
48201432901,473902000,2348
48201432902,278354200,1292
48201432903,103388000,376
48201432904,50136000,264
48201433001,171988800,552
48201433002,358656400,990
48201433003,83972600,396
48201433004,70086600,162
48201433005,51400000,138
48201433006,8000000,16
48201433007,10000000,20
48201433100,776959400,2692
48201433201,2263898000,13522
48201433202,1060420600,5322
48201433300,2427930200,11746
48201433400,2109727200,10850
48201433501,403586000,1470
48201433502,142491400,598
48201433503,336000000,788
48201433504,177776400,8112
48201433505,193762600,408
48201433507,23045000,108
48201433600,44866400,212
48201433601,10000000,20
48201433602,0,6
48201440100,1436432800,6698
48201440101,131508000,468
48201440102,1099839400,5078
48201450100,2848633800,16026
48201450200,7304896000,30748
48201450300,1490975800,8998
48201450301,847888000,3644
48201450302,682886000,3272
48201450400,1429454200,8162
48201450401,199593200,930
48201450402,1386899400,5028
48201450500,6050125200,25224
48201450600,5192825600,22152
48201450700,12581120200,51718
48201450801,1633658200,6008
48201450802,1534937400,6702
48201450803,1455399800,6044
48201450804,131604000,546
48201450900,2784729400,12162
48201451001,936984600,4418
48201451002,190964200,1498
48201451003,22888000,194
48201451004,145550000,882
48201451005,132248000,306
48201451006,1018000400,4168
48201451100,3511122000,19110
48201451200,4611773400,19294
48201451300,2992205000,13478
48201451301,1287992000,5358
48201451302,1504618000,6374
48201451401,1707332400,7912
48201451402,518096000,2752
48201451403,706446600,3204
48201451404,136900000,584
48201451405,293722000,1222
48201451406,323672400,1586
48201451407,110300000,472
48201451500,1109870200,5130
48201451501,83984000,356
48201451502,1110932000,4512
48201451601,3371497000,14514
48201451602,2522931400,12036
48201451603,957548000,4008
48201451604,2077811600,8574
48201451605,222390000,1008
48201451606,2234806800,9728
48201451700,2754525800,14160
48201451800,3482612600,19312
48201451900,208000,2
48201451901,3144340200,17526
48201451902,1876694200,7674
48201451903,257812800,806
48201451904,2494577000,12208
48201452000,2134055000,10574
48201452001,1649831000,7844
48201452002,147957600,404
48201452100,2164840600,8924
48201452101,1279034200,5174
48201452103,14900000,74
48201452201,368365600,4448
48201452202,473687800,2092
48201452203,52864000,300
48201452204,178916000,470
48201452300,770012200,4620
48201452400,1517823800,10644
48201452401,432225600,2906
48201452402,999181600,4604
48201452500,519076200,3686
48201452501,247960600,1156
48201452502,187034000,1112
48201452600,503543800,2528
48201452601,14856000,38
48201452602,241064000,1088
48201452700,791278000,4246
48201452701,329038400,1458
48201452702,114948600,558
48201452703,57976000,286
48201452801,565344800,3238
48201452802,1074287400,5422
48201452900,1812577800,14112
48201453000,2227522400,16200
48201453001,339990000,2110
48201453002,1138310200,7940
48201453100,2644065000,20732
48201453200,739666400,3676
48201453201,118174800,288
48201453202,290490200,1528
48201453300,1046511200,2898
48201453401,869663000,4502
48201453402,1005832400,6228
48201453403,429334000,2780
48201453404,775929800,4288
48201453405,157847600,546
48201453500,2949800,16
48201453501,1523276600,8988
48201453502,1370249000,8776
48201453601,697253400,4764
48201453602,735245600,6330
48201453603,373934800,2882
48201453604,174666600,1088
48201453700,1695039800,12820
48201453701,331146200,2080
48201453702,715761200,4844
48201453800,2798647200,17370
48201453900,846501200,5174
48201453901,218290000,1072
48201453902,507521600,2938
48201454000,1101878800,5180
48201454100,2913876400,14318
48201454200,663124000,3552
48201454300,393800,4
48201454301,959566800,5692
48201454302,1364175600,7282
48201454303,959064000,4110
48201454304,97896000,464
48201454305,153364000,662
48201454400,236748200,618
48201454500,1200000,6
48201454501,5201360800,21862
48201454502,2601140800,10754
48201454503,1779982000,7210
48201454504,2429383000,9914
48201454505,1234840000,4994
48201454600,1973323600,8338
48201454700,6393379400,26974
48201454800,1419417000,7562
48201454801,494828000,2290
48201454802,912339800,4012
48201454900,2360238400,10552
48201454901,813806000,3356
48201454902,1202440000,5144
48201455000,1919692000,7948
48201455101,1374915000,7430
48201455102,1695564000,7686
48201455103,850503200,3916
48201455104,515318000,2458
48201455200,1812128200,8750
48201455300,876704000,4136
48201510100,1235349400,5278
48201510200,1226031600,5738
48201510201,210668000,884
48201510202,700872400,2974
48201510300,2080049400,11676
48201510301,1714887200,11236
48201510302,923824000,3964
48201510400,2271577000,9716
48201510500,2923062600,12368
48201510600,2312948800,10550
48201510601,503430000,2330
48201510602,951852200,4296
48201510700,1344816600,5978
48201510701,285304000,1120
48201510702,604452000,2664
48201510800,4156188800,17954
48201510801,1271967600,5280
48201510802,774936000,3194
48201510803,1693971800,6874
48201510900,5410672800,25630
48201510901,1730523800,7596
48201510902,1554679400,6934
48201511001,3112214200,13996
48201511002,2315257600,10892
48201511003,953084600,4076
48201511004,1207796600,5232
48201511100,6179276200,25634
48201511200,5647539600,26332
48201511201,2327270200,10048
48201511202,2690278200,11278
48201511301,2943437600,12846
48201511302,2269326000,10034
48201511400,1982869200,9414
48201511500,2388099400,11240
48201511501,836595400,3600
48201511502,1445114000,6346
48201511600,1514831800,7094
48201520100,1324802400,6096
48201520200,3079786800,13046
48201520300,895014200,4510
48201520301,211090000,1022
48201520302,492407800,2006
48201520400,396194000,2056
48201520500,865236200,4908
48201520501,292539200,1678
48201520502,278806000,1058
48201520601,431633400,1844
48201520602,280184000,1814
48201520603,43662000,192
48201520604,286148000,1572
48201520700,3001257200,12978
48201521000,857520400,3504
48201521100,494412000,2240
48201521200,672063600,3502
48201521201,88638000,412
48201521202,629056000,2852
48201521300,2076110200,10438
48201521400,663017200,5442
48201521401,103574400,522
48201521402,480141800,3092
48201521500,1561705400,9320
48201521501,236391600,1158
48201521502,1461495800,7360
48201521600,1144680800,5766
48201521700,386937600,1844
48201521701,179087200,670
48201521702,259054000,830
48201521800,1448627000,7570
48201521900,4330588200,19866
48201522000,1051779200,5414
48201522001,795669400,3320
48201522002,470368000,2160
48201522100,2139600400,10174
48201522101,793036000,3354
48201522102,1073475000,4840
48201522201,1584614400,7866
48201522202,1115148800,5272
48201522300,1500000,6
48201522301,1418409400,7122
48201522302,1059774000,5018
48201522401,2468488400,11418
48201522402,2102377200,9888
48201522500,6646707800,27538
48201530100,1134397400,5548
48201530101,713457400,3198
48201530102,275422600,974
48201530200,2900295200,14248
48201530300,1218820000,7528
48201530400,1061306800,6492
48201530500,1025753000,6666
48201530501,486354200,2918
48201530502,323686000,1922
48201530600,1006656200,4716
48201530700,1201425200,5474
48201530701,495604800,1332
48201530702,507452000,2584
48201530800,2042053200,10564
48201530900,4747481800,20392
48201531000,3956087400,17720
48201531100,3050900600,14370
48201531200,4371454800,21822
48201531300,1870770200,8412
48201531400,2773380800,17600
48201531500,1858054800,9362
48201531600,3536629200,16556
48201531700,4113262400,18874
48201531800,569076000,2986
48201531900,820711200,4818
48201532001,859306000,4126
48201532002,537395000,2590
48201532003,397750400,1940
48201532004,982399000,4386
48201532100,954473000,6260
48201532101,799283000,3626
48201532102,626962400,1512
48201532200,958879400,5240
48201532300,1507463800,7934
48201532301,531380400,1562
48201532302,1084942800,5300
48201532400,4919861800,30346
48201532500,400000,2
48201532501,1711123000,11146
48201532502,2258056600,17050
48201532503,509762000,2600
48201532504,746572800,4792
48201532600,1554736000,7444
48201532700,3522220600,20926
48201532800,1627726400,9338
48201532900,833892600,4524
48201533000,199055200,930
48201533100,2297272000,12902
48201533200,953006600,4334
48201533300,329561000,2180
48201533301,335214600,1242
48201533302,242872000,1210
48201533400,608037600,3954
48201533401,479341200,2580
48201533402,154776800,732
48201533500,1627069400,9570
48201533600,569737600,3310
48201533701,783838200,4110
48201533702,794927400,4884
48201533801,1076746200,6824
48201533802,2277216400,15386
48201533803,230292400,1206
48201533804,554880400,3080
48201533901,755227200,4706
48201533902,154920000,838
48201533903,410572000,2042
48201533904,218112200,1174
48201534001,612718000,2876
48201534002,809930800,4560
48201534003,163197600,910
48201534100,979483200,5114
48201534101,385443200,1598
48201534102,451080800,2186
48201534201,494284600,2028
48201534202,3467829000,16320
48201534203,1510553400,5274
48201534204,1324428400,5840
48201534205,1647553000,7294
48201540100,6023188600,25464
